signal_timestamp,symbol,interval,side,close,rsi,probability_profitable,prediction,bullish_divergence,bearish_divergence,div_price_change,div_rsi_change,div_bars_gap,trade_action
2026-03-09T04:15:00,BTCUSDT,15m,short,67575.86,45.64989016539755,0.5617040991783142,1,False,True,0.0018362687540769,-4.350109834602449,5.0,historical_trade_opened
2026-03-11T05:45:00,BTCUSDT,15m,long,69510.36,43.75502875434413,0.5293232202529907,1,True,False,-0.0002105717367853,0.7637054809427966,9.0,historical_trade_opened
2026-03-15T10:15:00,BTCUSDT,15m,short,71862.46,62.64193794300493,0.4432750642299652,0,False,True,0.0002094717123415,-0.6623690685709391,4.0,historical_signal_logged_no_trade
2026-03-15T20:30:00,BTCUSDT,15m,short,71846.68,56.78590950936589,0.7623468041419983,1,False,True,0.0003721807102343,-0.8542618390800953,11.0,historical_trade_opened
2026-03-18T20:00:00,BTCUSDT,15m,long,70752.73,31.635205719609782,0.4270952939987182,0,True,False,-0.0067043117056398,3.575813682308379,15.0,historical_signal_logged_no_trade
2026-03-19T05:15:00,BTCUSDT,15m,long,70694.34,38.95537362266943,0.3498287200927734,0,True,False,-0.0005461385263478,0.0002073583062909,4.0,historical_signal_logged_no_trade
2026-03-19T15:30:00,BTCUSDT,15m,long,68900.01,36.84453331538797,0.5837554335594177,1,True,False,-0.003842075015452,0.4696048741083274,5.0,trade_opened
2026-03-23T00:45:00,BTCUSDT,15m,long,67669.99,38.30204727031151,0.5471045970916748,1,True,False,-0.0016352706215016,3.639722820047375,15.0,signal_logged_trade_already_open
2026-03-23T14:00:00,BTCUSDT,15m,short,71524.82,68.34028760310028,0.6110959053039551,1,False,True,0.0079160893123705,-1.3075108448445008,12.0,trade_opened
2026-03-25T17:45:00,BTCUSDT,15m,long,70779.0,45.61654267977015,0.5524664521217346,1,True,False,-0.0006530156970854,0.0785445339026793,11.0,trade_opened
2026-03-26T11:45:00,BTCUSDT,15m,long,69276.01,33.51669073133948,0.4684244692325592,0,True,False,-0.0033181002563209,0.061474540727417,9.0,signal_logged_trade_already_open
2026-03-26T16:15:00,BTCUSDT,15m,long,68888.01,34.27236134507406,0.2684563100337982,0,True,False,-0.0009134024036494,0.8979275875893222,5.0,signal_logged_trade_already_open
2026-03-26T23:15:00,BTCUSDT,15m,long,68735.8,43.005309346804495,0.4362695217132568,0,True,False,-0.0002711097639657,0.2024409248770879,4.0,signal_logged_no_trade
2026-03-27T00:30:00,BTCUSDT,15m,long,68718.75,43.44626576276868,0.4369233846664428,0,True,False,-0.0002480512338548,0.4409564159641803,5.0,signal_logged_no_trade
2026-03-27T14:15:00,BTCUSDT,15m,long,65737.82,28.224798445121053,0.3798053860664367,0,True,False,-0.0114971773203406,0.5649087795999321,14.0,signal_logged_no_trade
2026-03-28T16:15:00,BTCUSDT,15m,short,67074.07,61.96921745496711,0.4088513851165771,0,False,True,0.001988618327048,-0.7487908293659444,11.0,signal_logged_no_trade
2026-03-29T21:45:00,BTCUSDT,15m,short,66710.12,53.50341562968251,0.448648065328598,0,False,True,6.701081542569729e-05,-0.1369327136482852,6.0,signal_logged_no_trade
2026-05-24T06:45:00,BTCUSDT,15m,short,76987.58,86.76851957709462,0.5063561797142029,1,False,True,0.0018887999912548,-2.147277529824933,11.0,trade_opened
