timestamp,open,high,low,close,volume,date
2026-03-08 20:30:00,67031.8,67609.08,67028.45,67352.01,767.24505,2026-03-08
2026-03-08 20:45:00,67352.0,67397.33,67200.0,67238.8,134.14971,2026-03-08
2026-03-08 21:00:00,67238.79,67266.0,66712.69,66779.83,372.66492,2026-03-08
2026-03-08 21:15:00,66779.83,66996.69,66778.61,66936.05,118.47145,2026-03-08
2026-03-08 21:30:00,66936.42,67028.45,66894.69,67022.99,244.66852,2026-03-08
2026-03-08 21:45:00,67022.98,67047.71,66921.99,67020.01,223.23042,2026-03-08
2026-03-08 22:00:00,67020.01,67020.01,65684.77,66078.0,1624.98267,2026-03-08
2026-03-08 22:15:00,66077.99,66180.57,65618.49,65915.08,567.3988,2026-03-08
2026-03-08 22:30:00,65915.09,66282.87,65728.7,66045.09,360.02452,2026-03-08
2026-03-08 22:45:00,66045.09,66309.53,66045.09,66236.8,189.61836,2026-03-08
2026-03-08 23:00:00,66236.8,66436.47,66116.24,66328.45,175.86488,2026-03-08
2026-03-08 23:15:00,66328.45,66569.24,66250.0,66470.01,147.27962,2026-03-08
2026-03-08 23:30:00,66470.01,66514.31,66115.82,66121.73,118.57925,2026-03-08
2026-03-08 23:45:00,66121.72,66224.27,65930.3,65971.2,238.22869,2026-03-08
2026-03-09 00:00:00,65971.2,66402.23,65944.1,66324.43,175.61856,2026-03-09
2026-03-09 00:15:00,66324.43,66378.15,65821.97,66170.4,220.49627,2026-03-09
2026-03-09 00:30:00,66170.41,66773.0,66170.41,66448.0,384.30014,2026-03-09
2026-03-09 00:45:00,66448.0,66564.0,66287.06,66370.01,170.94041,2026-03-09
2026-03-09 01:00:00,66370.01,66433.42,66131.25,66363.19,513.76586,2026-03-09
2026-03-09 01:15:00,66363.19,66650.74,66235.46,66480.85,1200.11345,2026-03-09
2026-03-09 01:30:00,66480.84,66698.05,66401.25,66623.21,340.18594,2026-03-09
2026-03-09 01:45:00,66623.2,66639.64,66182.2,66196.01,209.72357,2026-03-09
2026-03-09 02:00:00,66196.01,66354.0,66009.1,66173.84,230.9937,2026-03-09
2026-03-09 02:15:00,66173.84,66173.84,65959.0,66120.3,202.06127,2026-03-09
2026-03-09 02:30:00,66120.3,66579.21,66092.63,66573.75,183.03765,2026-03-09
2026-03-09 02:45:00,66573.75,66707.58,66529.07,66537.32,136.47852,2026-03-09
2026-03-09 03:00:00,66537.32,67456.0,66512.88,67452.0,536.90699,2026-03-09
2026-03-09 03:15:00,67451.99,67668.64,67092.77,67223.52,416.94076,2026-03-09
2026-03-09 03:30:00,67223.52,67381.66,67072.4,67099.4,165.09674,2026-03-09
2026-03-09 03:45:00,67099.4,67253.75,67050.0,67205.05,137.35033,2026-03-09
2026-03-09 04:00:00,67205.06,67288.29,67166.42,67177.45,123.87137,2026-03-09
2026-03-09 04:15:00,67177.44,67610.0,67170.22,67575.86,154.0371,2026-03-09
2026-03-09 04:30:00,67575.86,67575.86,67411.1,67506.04,201.1562,2026-03-09
2026-03-09 04:45:00,67506.03,67528.84,67093.09,67130.14,369.41295,2026-03-09
2026-03-09 05:00:00,67131.1,67257.44,67113.02,67157.0,84.1515,2026-03-09
2026-03-09 05:15:00,67157.01,67415.71,67130.49,67389.83,96.2716,2026-03-09
2026-03-09 05:30:00,67389.82,67972.0,67348.61,67932.25,609.22602,2026-03-09
2026-03-09 05:45:00,67932.25,68069.29,67812.86,67911.16,356.06236,2026-03-09
2026-03-09 06:00:00,67911.15,67939.55,67573.7,67626.61,307.03175,2026-03-09
2026-03-09 06:15:00,67626.61,67740.5,67486.95,67508.24,92.66817,2026-03-09
2026-03-09 06:30:00,67508.24,67559.96,67283.0,67363.62,84.45417,2026-03-09
2026-03-09 06:45:00,67363.63,67385.93,67236.78,67267.18,94.54898,2026-03-09
2026-03-09 07:00:00,67267.18,67322.07,67126.35,67186.0,153.91422,2026-03-09
2026-03-09 07:15:00,67186.0,67284.4,66853.48,67205.06,475.40699,2026-03-09
2026-03-09 07:30:00,67205.07,67482.07,67204.24,67427.67,316.34371,2026-03-09
2026-03-09 07:45:00,67427.67,67575.81,67373.82,67555.13,307.79097,2026-03-09
2026-03-09 08:00:00,67555.13,67665.0,67444.65,67573.07,472.05182,2026-03-09
2026-03-09 08:15:00,67573.07,67838.38,67391.89,67813.51,291.43452,2026-03-09
2026-03-09 08:30:00,67813.51,67883.0,67678.22,67792.84,387.70301,2026-03-09
2026-03-09 08:45:00,67792.84,67929.19,67716.62,67814.69,464.24194,2026-03-09
2026-03-09 09:00:00,67814.69,67833.03,67566.65,67833.03,301.3109,2026-03-09
2026-03-09 09:15:00,67833.03,68050.0,67797.69,68011.2,300.09232,2026-03-09
2026-03-09 09:30:00,68011.19,68460.09,67904.78,68357.71,377.74211,2026-03-09
2026-03-09 09:45:00,68357.71,68440.3,67940.5,67981.02,246.29308,2026-03-09
2026-03-09 10:00:00,67981.03,68088.92,67884.14,67940.1,230.1868,2026-03-09
2026-03-09 10:15:00,67940.11,67978.42,67798.22,67800.0,151.13727,2026-03-09
2026-03-09 10:30:00,67799.99,67843.44,67588.0,67678.26,140.26713,2026-03-09
2026-03-09 10:45:00,67678.27,67703.95,67556.72,67608.13,165.53124,2026-03-09
2026-03-09 11:00:00,67608.13,67780.75,67581.56,67706.59,140.87181,2026-03-09
