timestamp,close,realized_equity,floating_pnl,equity_with_floating,has_open_trade
2025-03-09 16:30:00,82903.83,10000.0,0.0,10000.0,0
2025-03-09 16:45:00,82496.01,10000.0,0.0,10000.0,0
2025-03-09 17:00:00,82784.01,10000.0,0.0,10000.0,0
2025-03-09 17:15:00,82452.0,10000.0,0.0,10000.0,0
2025-03-09 17:30:00,82320.88,10000.0,0.0,10000.0,0
2025-03-09 17:45:00,82366.0,10000.0,0.0,10000.0,0
2025-03-09 18:00:00,82539.01,10000.0,0.0,10000.0,0
2025-03-09 18:15:00,82996.61,10000.0,0.0,10000.0,0
2025-03-09 18:30:00,82925.73,10000.0,0.0,10000.0,0
2025-03-09 18:45:00,82670.0,10000.0,0.0,10000.0,0
2025-03-09 19:00:00,82441.18,10000.0,0.0,10000.0,0
2025-03-09 19:15:00,82698.53,10000.0,0.0,10000.0,0
2025-03-09 19:30:00,82770.0,10000.0,0.0,10000.0,0
2025-03-09 19:45:00,82640.86,10000.0,0.0,10000.0,0
2025-03-09 20:00:00,83175.73,10000.0,0.0,10000.0,0
2025-03-09 20:15:00,83156.01,10000.0,0.0,10000.0,0
2025-03-09 20:30:00,83348.68,10000.0,0.0,10000.0,0
2025-03-09 20:45:00,83083.15,10000.0,0.0,10000.0,0
2025-03-09 21:00:00,82580.01,10000.0,0.0,10000.0,0
2025-03-09 21:15:00,82041.61,10000.0,0.0,10000.0,0
2025-03-09 21:30:00,82183.82,10000.0,0.0,10000.0,0
2025-03-09 21:45:00,81845.11,10000.0,0.0,10000.0,0
2025-03-09 22:00:00,81567.99,10000.0,0.0,10000.0,0
2025-03-09 22:15:00,81348.3,10000.0,0.0,10000.0,0
2025-03-09 22:30:00,81121.46,10000.0,0.0,10000.0,0
2025-03-09 22:45:00,80358.19,10000.0,0.0,10000.0,0
2025-03-09 23:00:00,80582.71,10000.0,0.0,10000.0,0
2025-03-09 23:15:00,80603.89,10000.0,0.0,10000.0,0
2025-03-09 23:30:00,80641.42,10000.0,0.0,10000.0,0
2025-03-09 23:45:00,80734.37,10000.0,0.0,10000.0,0
2025-03-10 00:00:00,80917.31,10000.0,0.0,10000.0,0
2025-03-10 00:15:00,80566.22,10000.0,0.0,10000.0,0
2025-03-10 00:30:00,80792.01,10000.0,0.0,10000.0,0
2025-03-10 00:45:00,81292.0,10000.0,0.0,10000.0,0
2025-03-10 01:00:00,81278.02,10000.0,0.0,10000.0,0
2025-03-10 01:15:00,81302.02,10000.0,0.0,10000.0,0
2025-03-10 01:30:00,81690.53,10000.0,0.0,10000.0,0
2025-03-10 01:45:00,81766.01,10000.0,0.0,10000.0,0
2025-03-10 02:00:00,81944.64,10000.0,0.0,10000.0,0
2025-03-10 02:15:00,82146.03,10000.0,0.0,10000.0,0
2025-03-10 02:30:00,82430.77,10000.0,0.0,10000.0,0
2025-03-10 02:45:00,82198.12,10000.0,0.0,10000.0,0
2025-03-10 03:00:00,81909.37,10000.0,0.0,10000.0,0
2025-03-10 03:15:00,81818.62,10000.0,0.0,10000.0,0
2025-03-10 03:30:00,82234.72,10000.0,0.0,10000.0,0
2025-03-10 03:45:00,82047.49,10000.0,0.0,10000.0,0
2025-03-10 04:00:00,82303.01,10000.0,0.0,10000.0,0
2025-03-10 04:15:00,82498.57,10000.0,0.0,10000.0,0
2025-03-10 04:30:00,82349.35,10000.0,0.0,10000.0,0
2025-03-10 04:45:00,82634.05,10000.0,0.0,10000.0,0
2025-03-10 05:00:00,82450.01,10000.0,0.0,10000.0,0
2025-03-10 05:15:00,82560.39,10000.0,0.0,10000.0,0
2025-03-10 05:30:00,82235.64,10000.0,0.0,10000.0,0
2025-03-10 05:45:00,82308.52,10000.0,0.0,10000.0,0
2025-03-10 06:00:00,82148.11,10000.0,0.0,10000.0,0
2025-03-10 06:15:00,82161.72,10000.0,0.0,10000.0,0
2025-03-10 06:30:00,82133.98,10000.0,0.0,10000.0,0
2025-03-10 06:45:00,82332.67,10000.0,0.0,10000.0,0
2025-03-10 07:00:00,82296.31,10000.0,0.0,10000.0,0
2025-03-10 07:15:00,82116.0,10000.0,0.0,10000.0,0
2025-03-10 07:30:00,82250.45,10000.0,0.0,10000.0,0
2025-03-10 07:45:00,82318.77,10000.0,0.0,10000.0,0
2025-03-10 08:00:00,82142.59,10000.0,0.0,10000.0,0
2025-03-10 08:15:00,82042.73,10000.0,0.0,10000.0,0
2025-03-10 08:30:00,81466.02,10000.0,0.0,10000.0,0
2025-03-10 08:45:00,81350.46,10000.0,0.0,10000.0,0
2025-03-10 09:00:00,81945.91,10000.0,0.0,10000.0,0
2025-03-10 09:15:00,83238.89,10000.0,0.0,10000.0,0
2025-03-10 09:30:00,82762.76,10000.0,0.0,10000.0,0
2025-03-10 09:45:00,82514.26,10000.0,0.0,10000.0,0
2025-03-10 10:00:00,82232.82,10000.0,0.0,10000.0,0
2025-03-10 10:15:00,81864.27,10000.0,0.0,10000.0,0
2025-03-10 10:30:00,81943.73,10000.0,0.0,10000.0,0
2025-03-10 10:45:00,82288.19,10000.0,0.0,10000.0,0
2025-03-10 11:00:00,82183.73,10000.0,0.0,10000.0,0
2025-03-10 11:15:00,82601.86,10000.0,0.0,10000.0,0
2025-03-10 11:30:00,82531.89,10000.0,0.0,10000.0,0
2025-03-10 11:45:00,83582.0,10000.0,0.0,10000.0,0
2025-03-10 12:00:00,83170.47,10000.0,0.0,10000.0,0
2025-03-10 12:15:00,82825.28,10000.0,0.0,10000.0,0
2025-03-10 12:30:00,83155.73,10000.0,0.0,10000.0,0
2025-03-10 12:45:00,83248.12,10000.0,0.0,10000.0,0
2025-03-10 13:00:00,82978.22,10000.0,0.0,10000.0,0
2025-03-10 13:15:00,82670.37,10000.0,0.0,10000.0,0
2025-03-10 13:30:00,82700.0,10000.0,0.0,10000.0,0
